Processed_File,Model,Fold,ROC AUC,Accuracy,Precision,Recall,F1
Data_drop_na_selectkbest.pkl,MLP,1,0.3312280701754386,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,MLP,2,0.4273684210526316,0.9793103448275862,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,MLP,3,0.543859649122807,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_selectkbest.pkl,MLP,4,0.4950704225352113,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_standard.pkl,LightGBM,0,0.6771929824561403,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,LightGBM,1,0.6912280701754386,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,LightGBM,2,0.5270175438596492,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,LightGBM,3,0.5691228070175439,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,LightGBM,4,0.4253521126760563,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_standard.pkl,CatBoost,0,0.5950877192982456,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,CatBoost,1,0.7214035087719298,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,CatBoost,2,0.4336842105263158,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,CatBoost,3,0.6336842105263158,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,CatBoost,4,0.4007042253521127,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_standard.pkl,LogisticRegression,0,0.5543859649122806,0.8931034482758621,0.03571428571428571,0.2,0.06060606060606061
Data_drop_na_standard.pkl,LogisticRegression,1,0.720701754385965,0.8827586206896552,0.0,0.0,0.0
Data_drop_na_standard.pkl,LogisticRegression,2,0.608421052631579,0.8758620689655172,0.030303030303030304,0.2,0.05263157894736842
Data_drop_na_standard.pkl,LogisticRegression,3,0.6624561403508772,0.8724137931034482,0.0,0.0,0.0
Data_drop_na_standard.pkl,LogisticRegression,4,0.3204225352112676,0.9134948096885813,0.0,0.0,0.0
Data_drop_na_standard.pkl,MLP,0,0.5214035087719298,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,MLP,1,0.5459649122807018,0.9793103448275862,0.0,0.0,0.0
Data_drop_na_standard.pkl,MLP,2,0.40210526315789474,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,MLP,3,0.6617543859649123,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_standard.pkl,MLP,4,0.40774647887323945,0.9792387543252595,0.0,0.0,0.0
Data_iterative_imputed.pkl,LightGBM,0,0.8204110267414989,0.9740301378647003,0.9090909090909091,0.1111111111111111,0.19801980198019803
Data_iterative_imputed.pkl,LightGBM,1,0.7909190498733487,0.9749919846104521,0.9629629629629629,0.143646408839779,0.25
Data_iterative_imputed.pkl,LightGBM,2,0.8263139219769465,0.9751522924014107,0.9333333333333333,0.15469613259668508,0.26540284360189575
Data_iterative_imputed.pkl,LightGBM,3,0.7845697356593839,0.9743466410133077,0.9545454545454546,0.11666666666666667,0.2079207920792079
Data_iterative_imputed.pkl,LightGBM,4,0.8132271201364812,0.9737053070386403,0.8636363636363636,0.10555555555555556,0.18811881188118812
Data_iterative_imputed.pkl,CatBoost,0,0.7848960052822713,0.9257774927861494,0.19037199124726478,0.48333333333333334,0.2731554160125589
Data_iterative_imputed.pkl,CatBoost,1,0.7607188431813062,0.9230522603398525,0.15473441108545036,0.3701657458563536,0.2182410423452769
Data_iterative_imputed.pkl,CatBoost,2,0.8029392958423522,0.9262584161590254,0.18510158013544017,0.4530386740331492,0.26282051282051283
Data_iterative_imputed.pkl,CatBoost,3,0.7773797075926844,0.9275292608625942,0.17307692307692307,0.4,0.24161073825503357
Data_iterative_imputed.pkl,CatBoost,4,0.787652486562838,0.9195125861792528,0.17408906882591094,0.4777777777777778,0.2551928783382789
Data_iterative_imputed.pkl,LogisticRegression,0,0.7513260702101905,0.7547290798332799,0.07278481012658228,0.6388888888888888,0.13068181818181818
Data_iterative_imputed.pkl,LogisticRegression,1,0.7762006791831195,0.7403013786470023,0.07551622418879056,0.7071823204419889,0.13646055437100213
Data_iterative_imputed.pkl,LogisticRegression,2,0.7972958551221956,0.7369349150368708,0.0765661252900232,0.7292817679558011,0.13858267716535433
Data_iterative_imputed.pkl,LogisticRegression,3,0.7811898079357216,0.75998075998076,0.08296390120329322,0.7277777777777777,0.1489482660602615
Data_iterative_imputed.pkl,LogisticRegression,4,0.8068772586355547,0.7582170915504249,0.085,0.7555555555555555,0.15280898876404495
Data_iterative_imputed.pkl,MLP,0,0.5501238032353912,0.9711445976274447,0.0,0.0,0.0
Data_iterative_imputed.pkl,MLP,1,0.5906247919169365,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed.pkl,MLP,2,0.593061131041478,0.9709842898364861,0.0,0.0,0.0
Data_iterative_imputed.pkl,MLP,3,0.5761983380111166,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed.pkl,MLP,4,0.5837910223249501,0.9711399711399712,0.0,0.0,0.0
Data_iterative_imputed_balanced_smote.pkl,LightGBM,0,0.9919849958463814,0.9825010317787867,0.9991460290350128,0.9658246656760773,0.9822028206850235
Data_iterative_imputed_balanced_smote.pkl,LightGBM,1,0.9943765219737899,0.9842344201403219,0.9993191489361702,0.9691317266424563,0.9839939663119082
Data_iterative_imputed_balanced_smote.pkl,LightGBM,2,0.9951887371004569,0.9844807660558033,0.9991495152236775,0.9697870232788509,0.9842493297587132
Data_iterative_imputed_balanced_smote.pkl,LightGBM,3,0.9950345963525367,0.9839854713554564,0.9996591102778252,0.9683011391778108,0.983730291848373
Data_iterative_imputed_balanced_smote.pkl,LightGBM,4,0.9940038022474783,0.9856364536899456,0.9998300764655905,0.9714380056133399,0.9854295762853793
Data_iterative_imputed_balanced_smote.pkl,CatBoost,0,0.9934703348888759,0.9843995047461824,0.9998296422487223,0.9689615321116064,0.9841536010731953
Data_iterative_imputed_balanced_smote.pkl,CatBoost,1,0.9952812101477038,0.9853900123813455,0.9996601529311809,0.9711125784087158,0.9851796031147952
Data_iterative_imputed_balanced_smote.pkl,CatBoost,2,0.9955149539830582,0.98571900280667,0.999151679674245,0.9722634967805844,0.9855242239143168
Data_iterative_imputed_balanced_smote.pkl,CatBoost,3,0.9953770314040173,0.9853888063397722,0.999829989799388,0.9709427109129932,0.9851746377418544
Data_iterative_imputed_balanced_smote.pkl,CatBoost,4,0.9948510720986466,0.987369985141159,1.0,0.974739970282318,0.9872084273890143
Data_iterative_imputed_balanced_smote.pkl,LogisticRegression,0,0.8413238916111838,0.7903425505571605,0.7853318189193574,0.7990754498926862,0.7921440261865794
Data_iterative_imputed_balanced_smote.pkl,LogisticRegression,1,0.8308200138739202,0.7771357820883202,0.7703703703703704,0.7896995708154506,0.7799152266058037
Data_iterative_imputed_balanced_smote.pkl,LogisticRegression,2,0.826904164986587,0.7751362060425954,0.766938971648246,0.7904903417533432,0.7785365853658537
Data_iterative_imputed_balanced_smote.pkl,LogisticRegression,3,0.8338599059308045,0.7789334654119201,0.7763782103713398,0.7835562159484893,0.7799506984387838
Data_iterative_imputed_balanced_smote.pkl,LogisticRegression,4,0.8427417384170723,0.7847119035826317,0.7777419874375906,0.7972593693247483,0.7873797488993967
Data_iterative_imputed_balanced_smote.pkl,MLP,0,0.9938992005789831,0.9782913743293438,0.965905435831457,0.991579990094106,0.9785743380855397
Data_iterative_imputed_balanced_smote.pkl,MLP,1,0.9921862587143279,0.9716879900949237,0.9516358463726885,0.9938923737206999,0.9723052079127977
